893;Patricia Vega;J6S-587;1/11/2023
834;Eva Núñez;Z1S-403;1/11/2023
149;Pedro Cruz;P7E-689;27/11/2023;Pendiente
729;Patricia Vega;P8N-164;27/11/2023;Procesado
736;Lourdes Ortega;Z5W-803;27/11/2023;Pendiente
746;Antonio Rojas;B3E-901;27/11/2023;Procesado
391;Paula Sánchez;A4D-518;27/11/2023;Procesado
349;Roberto Rojas;Z3T-119;27/11/2023;Procesado
702;Roberto Ibáñez;Q9D-940;27/11/2023;Pendiente
789;Antonio Machado;I5S-823;27/11/2023;Procesado
960;Laura Cabrera;I9T-634;27/11/2023;Procesado
415;Teresa Montes;Z1H-741;27/11/2023;Pendiente
664;María López;P8O-189;27/11/2023;Pendiente
84;Raúl Santos;A5Z-195;27/11/2023;Procesado
793;Beatriz Montes;F3T-140;27/11/2023;Procesado
572;Ana Ferreira;S8J-611;27/11/2023;Pendiente
62;Raúl Ortega;G3X-606;27/11/2023;Pendiente
693;Gonzalo Pérez;U3X-802;27/11/2023;Pendiente
87;Eva Rojas;F7B-442;27/11/2023;Pendiente
763;Juan Vega;Z9V-796;27/11/2023;Pendiente
609;Lucía Flores;O1T-331;27/11/2023;Pendiente
9;Manuel López;E4B-956;27/11/2023;Procesado
144;Sofía Suárez;A3J-901;27/11/2023;Procesado
120;Ana Ibáñez;K3W-273;27/11/2023;Pendiente
530;Rocío Aguilar;H5R-358;27/11/2023;Procesado
205;José Pérez;R2O-552;27/11/2023;Pendiente
805;Silvia Romero;Z6G-855;27/11/2023;Pendiente
524;Luis Rivas;L9U-727;27/11/2023;Pendiente
245;Laura Vargas;I6G-994;27/11/2023;Procesado
974;Lorena Gutiérrez;L5K-945;27/11/2023;Procesado
206;Juan Rodríguez;U4K-404;27/11/2023;Pendiente
55;Luis Gutiérrez;R5S-938;27/11/2023;Pendiente
557;Rosa Aguilar;A9G-285;27/11/2023;Procesado
330;Manuel Ortiz;Z4T-971;27/11/2023;Procesado
361;Antonio Alvarez;W1Y-954;28/11/2023;Procesado
877;Felipe Flores;M2V-713;28/11/2023;Procesado
192;Andrés Pérez;N7E-313;28/11/2023;Pendiente
313;Diego Campos;Q8P-763;28/11/2023;Procesado
539;Santiago Ortiz;Y2K-297;28/11/2023;Pendiente
229;David Díaz;D5S-426;28/11/2023;Pendiente
353;Fernando Flores;G4M-197;28/11/2023;Pendiente
430;Lorena Pérez;C7O-727;28/11/2023;Pendiente
892;Pablo Gutiérrez;U7Z-828;28/11/2023;Pendiente
842;Diego Andrade;U9C-899;28/11/2023;Procesado
662;Alejandra Sánchez;I1L-414;28/11/2023;Pendiente
102;Mateo Cabrera;X9P-789;28/11/2023;Procesado
907;Andrés Silva;V3D-365;28/11/2023;Procesado
931;Rosa López;S4Y-712;28/11/2023;Pendiente
468;José Pérez;K7X-478;28/11/2023;Procesado
987;Miguel Silva;W1Z-185;28/11/2023;Pendiente
741;Paula Suárez;N4I-435;28/11/2023;Pendiente
72;Lourdes Campos;Y7Z-548;28/11/2023;Pendiente
451;Gonzalo Figueroa;N9D-368;28/11/2023;Pendiente
92;Javier Rodríguez;N6S-576;28/11/2023;Pendiente
62;Lorena Pereira;S4O-312;28/11/2023;Procesado
190;Lourdes Gómez;P1Q-468;28/11/2023;Pendiente
364;Victoria Vasquez;U1H-111;28/11/2023;Pendiente
711;Juan Díaz;G4Z-716;28/11/2023;Pendiente
452;Gonzalo Ruiz;V7Q-113;28/11/2023;Procesado
296;Luis Chavez;P2U-818;28/11/2023;Procesado
959;Alberto Montes;N7J-125;28/11/2023;Procesado
230;Raúl Flores;P8E-651;28/11/2023;Pendiente
658;Ana Calderón;U4T-956;28/11/2023;Procesado
196;Miguel Suárez;C2U-287;28/11/2023;Pendiente
804;Ana Vargas;T8T-876;28/11/2023;Procesado
785;Jorge Montes;N3P-306;28/11/2023;Procesado
906;Antonio Gutiérrez;L4X-400;28/11/2023;Procesado
585;Pablo Vega;W9C-247;28/11/2023;Procesado
865;Luis Ortiz;F7F-972;28/11/2023;Pendiente
401;Andrés Santos;Q7C-682;28/11/2023;Pendiente
71;David Vargas;J4I-472;28/11/2023;Procesado
681;Jorge Suárez;L3T-870;28/11/2023;Pendiente
733;Ana Pereira;A4C-913;28/11/2023;Procesado
583;Felipe Calderón;G1A-965;28/11/2023;Procesado
340;Sofía López;J1V-413;28/11/2023;Pendiente
342;Pablo Ortega;J6K-210;28/11/2023;Procesado
417;Andrés Suárez;M5W-296;28/11/2023;Pendiente
446;Javier Romero;F3N-297;29/11/2023;Pendiente
646;Mateo Gómez;L7T-925;29/11/2023;Procesado
625;Pedro Miranda;W5Q-773;29/11/2023;Procesado
483;Manuel Vasquez;X5A-997;29/11/2023;Pendiente
91;Teresa Molina;T6Q-420;29/11/2023;Pendiente
641;Pedro Fernández;F5X-987;29/11/2023;Procesado
919;María Calderón;Y6G-582;29/11/2023;Pendiente
505;Fernando Núñez;B2W-944;29/11/2023;Procesado
936;Miguel Pérez;Z5F-913;29/11/2023;Procesado
172;Silvia Andrade;Y9Z-624;29/11/2023;Pendiente
404;Pedro Torres;P8F-920;29/11/2023;Procesado
65;Natalia Cabrera;M3H-168;29/11/2023;Procesado
401;Raúl Rojas;A6E-615;29/11/2023;Pendiente
22;David Alvarez;M1Y-225;29/11/2023;Pendiente
121;María Ibáñez;M5O-419;29/11/2023;Procesado
782;Rosa Cruz;G7I-394;29/11/2023;Pendiente
779;Sofía Cruz;Y6R-480;29/11/2023;Procesado
8;Rocío Figueroa;I8U-641;29/11/2023;Pendiente
536;Marta Torres;R7T-301;29/11/2023;Pendiente
516;Santiago Calderón;C5U-579;29/11/2023;Pendiente
309;Mateo Ramírez;P1Y-979;29/11/2023;Pendiente
945;Lucía Montes;D5J-431;29/11/2023;Procesado
526;Clara Pérez;W3A-950;29/11/2023;Pendiente
546;Beatriz Ramírez;H5S-621;29/11/2023;Pendiente
854;Teresa Ibáñez;H4H-291;29/11/2023;Pendiente
626;Felipe Ibáñez;N4B-663;29/11/2023;Procesado
69;Eva Vargas;X2H-141;29/11/2023;Procesado
434;Jorge Miranda;O7F-885;29/11/2023;Procesado
790;David González;D1O-138;29/11/2023;Procesado
597;Andrés Gutiérrez;Q9S-987;29/11/2023;Procesado
74;Alberto Andrade;O9D-863;29/11/2023;Procesado
138;Teresa Ortega;N7J-689;29/11/2023;Pendiente
165;Felipe Chavez;F8W-848;29/11/2023;Procesado
768;Rosa González;H6H-279;29/11/2023;Pendiente
788;Luis Montes;X1Y-306;29/11/2023;Procesado
757;Santiago Campos;J5D-469;29/11/2023;Procesado
544;Pablo Ferreira;I3Z-979;29/11/2023;Pendiente
294;Ana Gutiérrez;C7P-848;29/11/2023;Pendiente
140;Raquel Molina;I5Y-916;29/11/2023;Procesado
864;Diego Cruz;A9M-602;29/11/2023;Procesado
926;Antonio Sánchez;W5M-445;29/11/2023;Procesado
581;Patricia Rojas;C3M-191;29/11/2023;Procesado
821;Antonio Vasquez;D8W-729;29/11/2023;Procesado
251;Patricia Machado;Z4Z-435;29/11/2023;Procesado
946;Manuel Santos;O8R-992;29/11/2023;Procesado
1;Paula Silva;L2O-557;29/11/2023;Procesado
103;Alejandra Almeida;S1L-271;29/11/2023;Procesado
975;Sofía Mendoza;B6E-695;29/11/2023;Pendiente
206;Clara Ramírez;G5E-790;29/11/2023;Procesado
597;Beatriz Rivas;C2S-101;29/11/2023;Procesado
757;Raúl Silva;Q9X-105;29/11/2023;Pendiente
773;María Díaz;B7X-288;29/11/2023;Procesado
536;Isabel Rivas;J6T-568;29/11/2023;Pendiente
914;Jorge Machado;F5T-523;29/11/2023;Pendiente
644;Beatriz Vega;Y6M-530;29/11/2023;Procesado
556;Rocío Ortiz;J7F-197;30/11/2023;Pendiente
578;Rosa Cruz;Z4A-121;30/11/2023;Pendiente
820;Diego Hernández;M9V-217;30/11/2023;Procesado
982;Andrés Pereira;C3R-650;30/11/2023;Pendiente
787;Miguel Díaz;Y7V-221;30/11/2023;Pendiente
668;Miguel Vasquez;U7Y-605;30/11/2023;Procesado
564;Rocío González;J8X-863;30/11/2023;Pendiente
439;Andrés Ortega;T6K-338;30/11/2023;Procesado
857;Patricia Díaz;D1M-816;30/11/2023;Pendiente
281;Raúl Gutiérrez;B3L-546;30/11/2023;Pendiente
6;Rocío Ortiz;V5V-969;30/11/2023;Procesado
983;Manuel Morales;N8F-945;30/11/2023;Procesado
236;Carmen Ortega;M6C-466;30/11/2023;Procesado
274;Felipe Gómez;O1Q-883;30/11/2023;Pendiente
998;Antonio González;Z2I-749;30/11/2023;Procesado
713;María Romero;W8R-718;30/11/2023;Pendiente
99;Jorge Castro;A9K-726;30/11/2023;Pendiente
61;Alberto Santos;P3K-631;30/11/2023;Procesado
199;Miguel Ibáñez;N2N-341;30/11/2023;Procesado
778;Beatriz Hernández;K8S-618;30/11/2023;Procesado
865;David Alvarez;E1D-869;30/11/2023;Procesado
839;David Aguilar;I1Q-767;30/11/2023;Procesado
603;Gonzalo Pérez;D7C-414;30/11/2023;Pendiente
118;Carlos Ferreira;C5B-530;30/11/2023;Procesado
223;Silvia Santos;V1P-437;30/11/2023;Pendiente
308;Carmen Alvarez;N7D-368;31/11/2023;Pendiente
601;Sofía Ruiz;I5D-279;31/11/2023;Pendiente
17;Andrés Pérez;P2X-317;31/11/2023;Pendiente
247;Eva Romero;J4Z-308;31/11/2023;Procesado
53;Santiago Andrade;N7K-548;31/11/2023;Procesado
300;Roberto Campos;D5Z-291;31/11/2023;Procesado
777;Miguel Martínez;W9C-648;31/11/2023;Procesado
2;Carlos Chavez;G2Q-386;31/11/2023;Pendiente
235;Silvia Alvarez;M4Y-871;31/11/2023;Procesado
780;Raúl Ortiz;B8J-764;31/11/2023;Pendiente
52;Fernando Miranda;F5C-429;31/11/2023;Procesado
594;Lorena Miranda;N7H-315;31/11/2023;Procesado
850;Ángel Pérez;G4C-680;31/11/2023;Pendiente
433;Marta Gómez;Y1P-589;31/11/2023;Pendiente
746;Antonio Rojas;E7X-478;31/11/2023;Pendiente
602;José Hernández;G8U-567;31/11/2023;Procesado
38;Lucía Medina;Q6G-961;31/11/2023;Procesado
393;Raquel Chavez;K8Y-344;31/11/2023;Procesado
538;Patricia Ortega;O8C-100;31/11/2023;Procesado
663;Andrés Ortiz;Z4V-180;31/11/2023;Pendiente
182;Rocío Vasquez;P1V-795;31/11/2023;Pendiente
695;Lucía Pérez;Y7T-648;31/11/2023;Pendiente
362;Luis Rodríguez;B8U-542;31/11/2023;Procesado
